epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2401.35,1.38746,1.38657,1.82645,0.43308,0.49428,0.49701,0.22154,1.86458,1.55442,2.85978,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2472,1.36391,1.35726,1.8066,0.42235,0.49764,0.50107,0.22362,1.90041,1.58318,2.87487,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2543.37,1.3643,1.32447,1.79437,0.37572,0.45023,0.44402,0.1962,1.90605,1.66419,2.90528,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2614.3,1.35596,1.29228,1.78903,0.30722,0.30177,0.48551,0.24318,1.83325,1.72739,2.82933,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2687.1,1.36353,1.32892,1.79441,0.42294,0.50845,0.49371,0.2469,1.81179,1.50045,2.78568,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2760.34,1.33401,1.27332,1.7794,0.384,0.47536,0.46128,0.22188,1.7535,1.60926,2.73509,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2834.41,1.3374,1.27836,1.77917,0.38986,0.43939,0.45361,0.22168,1.74378,1.61785,2.72932,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2909.39,1.31871,1.2553,1.74725,0.47646,0.5143,0.51445,0.25608,1.73375,1.43458,2.69488,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2982.2,1.32159,1.24893,1.76154,0.43145,0.5111,0.4974,0.25432,1.76948,1.53878,2.73983,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3054.1,1.32247,1.25706,1.77106,0.38659,0.46111,0.49525,0.25568,1.75934,1.63734,2.7114,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3127.21,1.32927,1.23216,1.76151,0.48732,0.52343,0.51152,0.24475,1.77632,1.43578,2.70743,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3199.87,1.3108,1.23258,1.7613,0.41323,0.44529,0.42398,0.21469,1.69292,1.72609,2.61786,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3272.97,1.29054,1.19461,1.74367,0.41426,0.53033,0.52092,0.25905,1.72561,1.4625,2.73556,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3347.09,1.30683,1.20178,1.74847,0.40913,0.52542,0.492,0.26433,1.66995,1.50715,2.66495,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3419.55,1.29617,1.19722,1.74977,0.41323,0.51221,0.48277,0.26235,1.66147,1.53514,2.61893,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3490.58,1.29881,1.2039,1.74842,0.4333,0.47003,0.50467,0.26654,1.65397,1.47046,2.6283,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3562.66,1.3065,1.2096,1.75632,0.42487,0.49015,0.49024,0.2638,1.70677,1.49526,2.6579,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3634.73,1.28823,1.16166,1.73436,0.39466,0.45944,0.49924,0.26025,1.70781,1.59481,2.65473,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3707.56,1.2723,1.18591,1.71466,0.49589,0.49781,0.48768,0.25943,1.6803,1.30739,2.62717,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3778.58,1.28651,1.14049,1.74192,0.50417,0.53502,0.50959,0.25666,1.72986,1.35128,2.70532,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3850.57,1.27685,1.14889,1.72595,0.50935,0.5172,0.53216,0.28829,1.65792,1.37522,2.59901,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3922.47,1.26546,1.12631,1.7283,0.4946,0.52702,0.52258,0.27,1.68308,1.28307,2.62589,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3994.72,1.25961,1.10755,1.70946,0.46989,0.52914,0.53298,0.28595,1.66728,1.3804,2.57971,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4066.81,1.2739,1.10452,1.71092,0.51201,0.54079,0.53693,0.27312,1.7371,1.29953,2.66798,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4138.72,1.26195,1.0901,1.71758,0.55005,0.53805,0.53216,0.28767,1.62613,1.21238,2.628,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4212.01,1.24536,1.09914,1.69867,0.55333,0.51601,0.5394,0.27256,1.72146,1.22378,2.65517,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4284.16,1.23769,1.077,1.68814,0.54432,0.55983,0.54884,0.28227,1.64135,1.30648,2.60123,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4355.31,1.2495,1.09175,1.70281,0.49535,0.52559,0.5305,0.28144,1.67981,1.35773,2.61373,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4429.75,1.24075,1.0994,1.68586,0.533,0.52607,0.53446,0.27871,1.67535,1.38049,2.61918,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4501.77,1.2256,1.07411,1.68863,0.51689,0.55199,0.54254,0.27632,1.68153,1.3375,2.60098,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4574.59,1.20941,1.06863,1.67109,0.5283,0.56263,0.54475,0.29568,1.64607,1.19232,2.61608,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4646.55,1.21088,1.04288,1.66945,0.52263,0.5548,0.53128,0.28809,1.66562,1.21789,2.62967,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4718.11,1.20235,1.05345,1.66248,0.49582,0.56412,0.54304,0.28821,1.68427,1.2485,2.61428,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4790.6,1.20682,1.0382,1.66132,0.48591,0.54741,0.54379,0.2766,1.66032,1.40788,2.61193,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4862.76,1.18776,1.02392,1.65474,0.46247,0.51279,0.51534,0.26799,1.63669,1.36672,2.56665,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4938.33,1.1932,1.02586,1.66909,0.50263,0.51296,0.52807,0.27871,1.61096,1.34938,2.56025,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5010.77,1.17574,0.97491,1.64381,0.49407,0.53218,0.51373,0.27973,1.67391,1.32457,2.62338,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5082.95,1.17991,0.98482,1.64915,0.51766,0.54713,0.54699,0.28631,1.69016,1.21062,2.65384,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5155.24,1.19253,0.99195,1.65083,0.48256,0.5519,0.53432,0.28637,1.64748,1.31456,2.59405,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5229.25,1.18134,0.97857,1.64277,0.5249,0.54571,0.5367,0.28748,1.67078,1.21274,2.63014,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5308.96,1.17182,0.99222,1.64142,0.53809,0.56431,0.5464,0.29702,1.65144,1.15474,2.61646,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5380.67,1.14736,0.96119,1.6182,0.51459,0.5567,0.54558,0.29741,1.6446,1.1749,2.60699,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5453.19,1.14502,0.96412,1.62481,0.53016,0.55783,0.54752,0.29249,1.63819,1.21704,2.61234,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5525.63,1.14548,0.95103,1.62446,0.51877,0.57012,0.54043,0.29413,1.63346,1.21586,2.58011,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
